,classified_id,classified_type,classified_subtype,classified_price,classified_transactionType,classified_zip,classified_visualisationOption,classified_kitchen_type,classified_building_constructionYear,classified_building_condition,classified_energy_heatingType,classified_certificates_primaryEnergyConsumptionLevel,classified_bedroom_count,classified_land_surface,classified_atticExists,classified_basementExists,classified_outdoor_garden_surface,classified_outdoor_terrace_exists,classified_specificities_SME_office_exists,classified_wellnessEquipment_hasSwimmingPool,classified_parking_parkingSpaceCount_indoor,classified_parking_parkingSpaceCount_outdoor,classified_condition_isNewlyBuilt,new_price,classified_region,bedroom_count
53,10147556,apartment,penthouse,79000,forsale,5370,xl,semiequipped,1995.0,good,electric,311.0,2.0,,,,,,,,,1.0,,0,Namur,2
54,10147547,apartment,apartmentgroup,229500,forsale,2980,xl,semiequipped,,good,,,,,,,,,,,,,1.0,0,Antwerp,Not_Specified
55,10148143,apartment,apartment,235000,forsale,1070,xl,hyperequipped,2009.0,good,gas,114.0,2.0,,,True,,True,,,1.0,,,0,Brussels,2
56,10148104,apartment,apartment,265000,forsale,1070,xl,installed,1958.0,good,gas,201.0,2.0,,,True,,True,,,,,,0,Brussels,2
57,10147859,apartment,apartment,295000,forsale,5020,xl,hyperequipped,2019.0,justrenovated,gas,132.0,2.0,,,True,,,,,,2.0,,0,Namur,2
58,10070415,apartment,apartment,315000,forsale,1410,xl,installed,1970.0,good,gas,375.0,2.0,,,True,,True,,,,,,0,Brabant Wallonia,2
59,10147389,apartment,duplex,335000,forsale,2960,xl,installed,2010.0,justrenovated,gas,158.0,2.0,,,,,True,True,,,2.0,,0,Antwerp,2
60,10147596,apartment,apartment,370000,forsale,1150,xl,installed,1961.0,good,fueloil,219.0,2.0,,,,,,,,,,,0,Brussels,2
61,10147424,apartment,apartmentgroup,450000,forsale,1130,xl,semiequipped,,good,,80.0,,,,,,,,,,,1.0,0,Brussels,Not_Specified
62,10147935,apartment,apartment,550000,forsale,1050,xl,hyperequipped,1949.0,justrenovated,gas,152.0,2.0,,,,,,,,,1.0,,0,Brussels,2
63,10147541,apartment,apartmentgroup,695000,forsale,2000,xl,semiequipped,,good,,,,,,,,,,,,,1.0,0,Antwerp,Not_Specified
64,10157026,apartment,apartment,320000,forsale,9800,xl,hyperequipped,2022.0,justrenovated,gas,,2.0,,,,,True,,,101.0,10.0,1.0,0,Oost Vlaanderen,2
65,10157028,apartment,apartment,375000,forsale,9800,xl,hyperequipped,2022.0,justrenovated,gas,,2.0,,,,,True,,,101.0,10.0,1.0,0,Oost Vlaanderen,2
66,10157029,apartment,apartment,380000,forsale,9800,xl,hyperequipped,2022.0,justrenovated,gas,,2.0,,,,,True,,,101.0,10.0,1.0,0,Oost Vlaanderen,2
67,10157469,apartment,apartment,279000,forsale,1210,xl,hyperequipped,1960.0,good,gas,215.0,2.0,,,True,,True,,,,,,0,Brussels,2
76,10106543,apartment,apartment,355000,forsale,1000,xl,hyperequipped,2019.0,justrenovated,gas,68.0,2.0,,,True,,,True,,1.0,,,0,Brussels,2
77,10157564,apartment,apartment,375000,forsale,1000,xl,hyperequipped,2017.0,justrenovated,gas,100.0,2.0,,,True,,True,,,,1.0,,0,Brussels,2
78,10157959,apartment,duplex,385000,forsale,1190,xl,hyperequipped,2011.0,good,gas,85.0,3.0,,,,,True,,,1.0,1.0,,0,Brussels,3
79,10146795,apartment,apartment,215000,forsale,2100,xl,semiequipped,1953.0,justrenovated,gas,136.0,2.0,,,,,,,,,,,0,Antwerp,2
80,10146530,apartment,penthouse,297000,forsale,1200,xl,installed,1962.0,justrenovated,gas,1138.0,1.0,,,True,,True,,,,,,0,Brussels,1
81,10156456,apartment,flatstudio,169000,forsale,1000,xl,installed,2013.0,good,electric,241.0,0.0,,,,,,,,,,,0,Brussels,6 to 8
82,10156318,apartment,apartment,260000,forsale,1170,xl,semiequipped,1970.0,good,gas,275.0,1.0,,,True,,True,,,,1.0,,0,Brussels,1
83,10154630,apartment,duplex,489000,forsale,1190,xl,hyperequipped,1927.0,justrenovated,gas,224.0,1.0,,,,,,,,1.0,1.0,,0,Brussels,1
84,10154631,apartment,apartment,699000,forsale,1190,xl,hyperequipped,1927.0,justrenovated,gas,198.0,2.0,,,,,,True,,1.0,1.0,,0,Brussels,2
85,10154632,apartment,apartment,749000,forsale,1190,xl,hyperequipped,1927.0,justrenovated,gas,231.0,2.0,,,,,,,,1.0,1.0,,0,Brussels,2
86,10155619,apartment,penthouse,950000,forsale,1000,xl,hyperequipped,2014.0,good,electric,413.0,2.0,,,,,True,,,,,,0,Brussels,2
87,10145899,apartment,apartment,195000,forsale,2020,xl,installed,1958.0,good,electric,262.0,2.0,,,True,,,,,1.0,,,0,Antwerp,2
88,10145897,apartment,apartment,225000,forsale,2660,xl,installed,2009.0,justrenovated,gas,146.0,2.0,,,,,True,,,,,,0,Antwerp,2
89,10146186,apartment,apartment,275000,forsale,1040,xl,installed,1910.0,torenovate,gas,251.0,1.0,,,True,,True,,,,,,0,Brussels,1
90,10145269,apartment,apartment,275000,forsale,1200,xl,hyperequipped,1970.0,justrenovated,gas,149.0,1.0,,,True,,True,,,,,,0,Brussels,1
91,10145286,apartment,apartmentgroup,369000,forsale,9051,xl,semiequipped,,good,,,,,,,,,,,1.0,,1.0,0,Oost Vlaanderen,Not_Specified
