,id,type,average_price,province
11029,10154990,apartment group,439500.0,Antwerpen
11031,10155591,apartment,550000,Limburg
11032,10154577,house group,672500.0,Limburg
11033,10155441,house,660000,Limburg
11034,10154984,house group,699500.0,Limburg
11035,10154878,apartment group,859556.5,Limburg
11036,10155081,apartment group,581500.0,Limburg
11037,10163547,house,395000,Limburg
11038,10162190,house,190000,Limburg
11039,10024351,house,199000,Limburg
11040,10161792,house,658500,Limburg
11041,10080676,house,549000,Limburg
11042,10163536,house,945000,Limburg
11043,10163242,house,970000,Limburg
11044,10163550,apartment,229990,Limburg
11045,10162246,apartment,250000,Limburg
11046,10162633,apartment,305000,Limburg
11047,10162604,apartment,335000,Limburg
11048,10162603,apartment,299000,Limburg
11049,10152126,apartment,189000,Limburg
11050,10152278,house,145000,Limburg
11051,10151895,house,235000,Limburg
11052,9963099,apartment,260000,Limburg
11053,10151936,apartment group,319500.0,Limburg
11054,10151404,apartment,275000,Limburg
11055,10151772,apartment group,263000.0,Limburg
11056,10153411,house group,289000.0,Limburg
11057,10152027,apartment,299000,Limburg
11058,10153924,apartment,310000,Limburg
11059,10153732,apartment,319000,Limburg
11060,10151412,apartment group,435000.0,Limburg
11062,10152020,apartment,375000,Oost-Vlaanderen
11063,10151981,house,379000,Oost-Vlaanderen
11064,10153006,house group,360000.0,Oost-Vlaanderen
11065,10151862,house group,460000.0,Oost-Vlaanderen
11066,10153840,house group,395000.0,Oost-Vlaanderen
11067,10151854,apartment group,392325.0,Oost-Vlaanderen
11068,10152367,apartment group,637500.0,Oost-Vlaanderen
11069,10152045,apartment,444000,Oost-Vlaanderen
11070,10153222,house group,463000.0,Oost-Vlaanderen
11071,10152380,apartment group,545000.0,Oost-Vlaanderen
11072,10151589,apartment,479000,Oost-Vlaanderen
11073,10153226,house group,485000.0,Oost-Vlaanderen
11074,10161587,house,599000,Oost-Vlaanderen
11075,10153854,apartment,490000,Oost-Vlaanderen
11076,10158270,house,450000,Oost-Vlaanderen
11077,10165307,house,215000,Oost-Vlaanderen
11078,10163933,apartment,159000,Oost-Vlaanderen
11079,10149128,house,159000,Oost-Vlaanderen
11080,10148942,apartment group,762500.0,Oost-Vlaanderen
11081,10149730,apartment group,337000.0,Oost-Vlaanderen
11082,10118253,apartment,395000,Oost-Vlaanderen
11083,10151182,apartment,209000,Oost-Vlaanderen
11084,10151203,apartment,235000,Oost-Vlaanderen
11085,10148922,apartment,275000,Oost-Vlaanderen
11086,10151217,apartment,245000,Oost-Vlaanderen
11087,10148703,house,239000,Oost-Vlaanderen
11088,10148729,apartment,349000,Oost-Vlaanderen
11089,10149386,apartment,415000,Oost-Vlaanderen
11090,10150449,apartment group,445000.0,Oost-Vlaanderen
11091,10149814,apartment group,425000.0,Oost-Vlaanderen
11093,10150676,apartment,520000,WaalsBrabant
11094,9955479,house,239000,WaalsBrabant
11095,10160134,house,450000,WaalsBrabant
11096,10150923,house,625000,WaalsBrabant
11097,10160268,house,335000,WaalsBrabant
11098,10150970,house,625000,WaalsBrabant
11099,10094760,house,475000,WaalsBrabant
11100,10086590,house,550000,WaalsBrabant
11101,10160090,house,545000,WaalsBrabant
11102,10160097,house,650000,WaalsBrabant
11103,10160112,house,735000,WaalsBrabant
11104,10160317,apartment,215000,WaalsBrabant
11105,10160095,apartment,220000,WaalsBrabant
11106,10160203,house,695000,WaalsBrabant
11107,10160366,apartment,275000,WaalsBrabant
11108,10159909,apartment,299500,WaalsBrabant
11109,10159930,apartment,245000,WaalsBrabant
11110,10160847,apartment,595000,WaalsBrabant
11111,10160848,apartment,595000,WaalsBrabant
11112,10163397,apartment,125000,WaalsBrabant
11113,10160932,apartment,3585000,WaalsBrabant
11114,10147556,apartment,79000,WaalsBrabant
11115,10147032,house,159000,WaalsBrabant
11116,10148322,apartment group,286000.0,WaalsBrabant
11117,10148143,apartment,235000,WaalsBrabant
11118,10147547,apartment group,324500.0,WaalsBrabant
11119,10147870,house group,329450.0,WaalsBrabant
11120,10070415,apartment,315000,WaalsBrabant
11121,10148104,apartment,265000,WaalsBrabant
11122,10147859,apartment,295000,WaalsBrabant
11124,10146903,house,345000,Antwerpen
11125,10147596,apartment,370000,Antwerpen
11126,10147424,apartment group,450000.0,Antwerpen
11127,10146909,apartment group,602500.0,Antwerpen
11128,10147935,apartment,550000,Antwerpen
11129,10147389,apartment,335000,Antwerpen
11130,10146862,house,895000,Antwerpen
11131,10147029,apartment,749500,Antwerpen
11132,10146939,house,750000,Antwerpen
11133,10147031,apartment,1495000,Antwerpen
11134,10147541,apartment group,945000.0,Antwerpen
11135,10158889,house,300000,Antwerpen
11136,10158111,house,495000,Antwerpen
11137,10159619,house,535000,Antwerpen
11138,10157174,house,452000,Antwerpen
11139,10159324,house,595000,Antwerpen
11140,10158745,house,349000,Antwerpen
11141,10159343,house,645000,Antwerpen
11142,10159340,house,645000,Antwerpen
11143,10158304,house,649000,Antwerpen
11144,10158359,house,750000,Antwerpen
11145,10157542,house,675000,Antwerpen
11146,10157561,house,1950000,Antwerpen
11147,10157751,house,770000,Antwerpen
11148,9919729,house,790000,Antwerpen
11149,10160245,apartment,365000,Antwerpen
11150,10157469,apartment,279000,Antwerpen
11151,10159220,apartment,209000,Antwerpen
11152,10165716,house,374000,Antwerpen
11153,10164821,house,359000,Antwerpen
11155,10164627,house,2890000,Oost-Vlaanderen
11156,10164692,house,435000,Oost-Vlaanderen
11157,10158639,apartment,424000,Oost-Vlaanderen
11158,10157959,apartment,385000,Oost-Vlaanderen
11159,10157564,apartment,375000,Oost-Vlaanderen
11160,10164685,house,435000,Oost-Vlaanderen
11161,10084941,apartment,220000,Oost-Vlaanderen
11162,10163696,apartment,370000,Oost-Vlaanderen
11163,10157726,apartment,2990000,Oost-Vlaanderen
11164,10146795,apartment,215000,Oost-Vlaanderen
11165,10163698,apartment,230000,Oost-Vlaanderen
11166,10164121,house,2950000,Oost-Vlaanderen
11167,10146727,house,269000,Oost-Vlaanderen
11168,10084890,apartment,254000,Oost-Vlaanderen
11169,10084884,apartment,259000,Oost-Vlaanderen
11170,10146601,apartment,249000,Oost-Vlaanderen
11171,10084865,apartment,280000,Oost-Vlaanderen
11172,9966662,apartment,310000,Oost-Vlaanderen
11173,10084867,apartment,287500,Oost-Vlaanderen
11174,10084860,apartment,280000,Oost-Vlaanderen
11175,10146530,apartment,297000,Oost-Vlaanderen
11176,10084889,apartment,317500,Oost-Vlaanderen
11177,10084887,apartment,320000,Oost-Vlaanderen
11178,10084862,apartment,280000,Oost-Vlaanderen
11179,10084943,apartment,335000,Oost-Vlaanderen
11180,10084891,apartment,345000,Oost-Vlaanderen
11181,10084885,apartment,349000,Oost-Vlaanderen
11182,10084882,apartment,349000,Oost-Vlaanderen
11183,10084886,apartment,350000,Oost-Vlaanderen
11184,10084892,apartment,355000,Oost-Vlaanderen
11186,10084857,apartment,420000,Brussel
11187,10084883,apartment,399000,Brussel
11188,9982690,house,400000,Brussel
11189,10084858,apartment,415000,Brussel
11190,10084888,apartment,360000,Brussel
11191,10084942,apartment,465000,Brussel
11192,9935270,house,570000,Brussel
11193,9996903,apartment,695000,Brussel
11194,9592954,apartment,675000,Brussel
11195,10146526,house,525000,Brussel
11196,10146748,house,479000,Brussel
11197,10042906,apartment,1537000,Brussel
11198,10123723,apartment,1839000,Brussel
11199,10164394,apartment,439000,Brussel
11200,10165088,apartment,314000,Brussel
11201,10154574,house,219000,Brussel
11202,10154573,house,219000,Brussel
11203,10154806,house,245000,Brussel
11204,10163982,apartment,185000,Brussel
11205,10156155,house,305000,Brussel
11206,10156593,house,1800000,Brussel
11207,10156897,house,599000,Brussel
11208,10159969,house,299000,Brussel
11209,10160576,house,575000,Brussel
11210,10156318,apartment,260000,Brussel
11211,10156767,house,325000,Brussel
11212,10154631,apartment,699000,Brussel
11213,10039330,house,710000,Brussel
11214,10154423,apartment,365000,Brussel
11215,10154630,apartment,489000,Brussel
11217,10160391,apartment,239000,Brussel
11218,10163196,house,1175000,Brussel
11219,10156265,apartment,715000,Brussel
11220,10155619,apartment,950000,Brussel
11221,10161786,house,1450000,Brussel
11222,10154632,apartment,749000,Brussel
11223,10145402,apartment group,330400.0,Brussel
11224,10145213,apartment,209000,Brussel
11225,10146186,apartment,275000,Brussel
11226,10145212,apartment,259000,Brussel
11227,10145269,apartment,275000,Brussel
11228,10145897,apartment,225000,Brussel
11229,10146116,house group,362000.0,Brussel
11230,10145147,house,325000,Brussel
11231,10145907,house,800000,Brussel
11232,10145286,apartment group,429500.0,Brussel
11233,10163052,apartment,72000,Brussel
11234,10145662,house,395000,Brussel
11235,10145673,apartment,549000,Brussel
11236,10162555,apartment,209000,Brussel
11237,10151618,house,455000,Brussel
11238,10151664,house,195000,Brussel
11239,10154065,house,398000,Brussel
11240,10152352,house,550000,Brussel
11241,10151897,house,275000,Brussel
11242,10152241,house,1780000,Brussel
11243,10133919,apartment,269000,Brussel
11244,10153863,apartment,270000,Brussel
11245,10151925,apartment,175000,Brussel
11246,10152425,apartment,259000,Brussel
11248,10153836,apartment,495000,Oost-Vlaanderen
11249,10151669,apartment,399000,Oost-Vlaanderen
11250,10151613,apartment,460000,Oost-Vlaanderen
11251,10151627,apartment,398000,Oost-Vlaanderen
11252,10151419,apartment,340000,Oost-Vlaanderen
11253,10152032,apartment,1875000,Oost-Vlaanderen
11254,10141214,apartment,1995000,Oost-Vlaanderen
11255,10152820,apartment,2990000,Oost-Vlaanderen
11256,10164148,house,259000,Oost-Vlaanderen
11257,10164176,house,219000,Oost-Vlaanderen
11258,10165054,house,485000,Oost-Vlaanderen
11259,10164172,house,249000,Oost-Vlaanderen
11260,10157266,apartment,169000,Oost-Vlaanderen
11261,10164217,house,1150000,Oost-Vlaanderen
11262,10158242,apartment,260000,Oost-Vlaanderen
11263,10157202,apartment,395000,Oost-Vlaanderen
11264,10157772,apartment,249000,Oost-Vlaanderen
11265,10143856,apartment group,284500.0,Oost-Vlaanderen
11266,10143042,apartment,205000,Oost-Vlaanderen
11267,10142892,house group,217216.205,Oost-Vlaanderen
11268,10143954,apartment,225000,Oost-Vlaanderen
11269,10143041,apartment,227500,Oost-Vlaanderen
11270,10143225,apartment group,353500.0,Oost-Vlaanderen
11271,10148762,apartment group,288000.0,Oost-Vlaanderen
11272,10148716,apartment group,288000.0,Oost-Vlaanderen
11273,10144123,apartment group,483750.0,Oost-Vlaanderen
11274,10144156,apartment,339000,Oost-Vlaanderen
11275,10144731,apartment,345000,Oost-Vlaanderen
11276,10143801,apartment,370000,Oost-Vlaanderen
11277,10143493,apartment group,845000.0,Oost-Vlaanderen
11279,10143702,apartment,380000,Oost-Vlaanderen
11280,10143254,house,425000,Oost-Vlaanderen
11281,10143079,apartment group,448500.0,Oost-Vlaanderen
11282,10144202,apartment group,554000.0,Oost-Vlaanderen
11283,10143472,apartment group,587000.0,Oost-Vlaanderen
11284,10144033,apartment group,612000.0,Oost-Vlaanderen
11285,10143183,house,449000,Oost-Vlaanderen
11286,10143136,house,450000,Oost-Vlaanderen
11287,10148813,house,285000,Oost-Vlaanderen
11288,10143366,house,849000,Oost-Vlaanderen
11289,10142887,house,750000,Oost-Vlaanderen
11290,10163682,apartment,342175,Oost-Vlaanderen
11291,10149679,house,324000,Oost-Vlaanderen
11292,10149241,house,450000,Oost-Vlaanderen
11293,10149158,house,495000,Oost-Vlaanderen
11294,10148614,house,760000,Oost-Vlaanderen
11295,10149675,house,650000,Oost-Vlaanderen
11296,10149681,house,650000,Oost-Vlaanderen
11297,10155529,house,189000,Oost-Vlaanderen
11298,10155861,house,230000,Oost-Vlaanderen
11299,9869191,house,359000,Oost-Vlaanderen
11300,10164022,apartment,180000,Oost-Vlaanderen
11301,10163842,apartment,249000,Oost-Vlaanderen
11302,10156693,house,529000,Oost-Vlaanderen
11303,10164815,apartment,245000,Oost-Vlaanderen
11304,10164024,apartment,230000,Oost-Vlaanderen
11305,10152284,apartment,250500,Oost-Vlaanderen
11306,10164684,apartment,349000,Oost-Vlaanderen
11307,10163871,apartment,995000,Oost-Vlaanderen
11308,10149596,apartment,238000,Oost-Vlaanderen
11310,10163444,house,396000,VlaamsBrabant
11311,10160985,house,329000,VlaamsBrabant
11312,10163512,house,449000,VlaamsBrabant
11313,10162613,house,450000,VlaamsBrabant
11314,10155859,apartment,230000,VlaamsBrabant
11315,10155613,apartment,229000,VlaamsBrabant
11316,10155623,apartment,495000,VlaamsBrabant
11317,10156892,apartment,500000,VlaamsBrabant
11318,10156506,apartment,249000,VlaamsBrabant
11319,10156437,apartment,285000,VlaamsBrabant
11320,10110541,apartment,249000,VlaamsBrabant
11321,10156440,apartment,1495000,VlaamsBrabant
11322,10142206,apartment,215000,VlaamsBrabant
11323,10140837,house,129000,VlaamsBrabant
11324,10156439,apartment,1495000,VlaamsBrabant
11325,10141426,apartment,145000,VlaamsBrabant
