id,type,subtype,price,transactionType,kitchen_type,energy_heatingType,bedroom_count,land_surface,outdoor_terrace_exists,outdoor_garden_surface,wellnessEquipment_hasSwimmingPool,condition_isNewlyBuilt,location
10160989,house group,house group,279000 - 279000,for sale,,,,,,,,1,Brugge
10160328,apartment group,apartment group,257000 - 319000,for sale,,,,,,,,1,Brugge
10160247,apartment group,apartment group,230000 - 390000,for sale,,,,,,,,1,Brugge
10159979,apartment group,apartment group,225000 - 695000,for sale,,,,,,,,1,Brugge
10161665,house,house,359000,for sale,hyper equipped,fueloil,4,1424,true,952,,,Brugge
10161140,house,house,399000,for sale,installed,gas,4,485,true,230,,,Brugge
10161619,house,house,430000,for sale,installed,gas,3,179,,80,,,Brugge
10154468,apartment,penthouse,780000,for sale,hyper equipped,gas,3,,true,,,1,Brugge
10154682,apartment,apartment,965000,for sale,usa hyper equipped,gas,3,,true,,,1,Brugge
10160243,apartment,apartment,230000,for sale,hyper equipped,,1,,true,,,1,Brugge
10160244,apartment,apartment,245000,for sale,hyper equipped,,1,,true,,,1,Brugge
10160246,apartment,apartment,320000,for sale,hyper equipped,,2,,true,,,1,Brugge
10158224,apartment,duplex,140000,for sale,usa hyper equipped,gas,3,,true,,,,Brugge
10152494,apartment group,apartment group,280000 - 635000,for sale,,,,,,,,1,Brugge
10157688,apartment group,apartment group,239000 - 342000,for sale,,,,,,,,1,Brugge
10160242,apartment,apartment,390000,for sale,hyper equipped,,2,,true,,,1,Brugge
10160911,house,house,289000,for sale,installed,gas,3,197,true,60,,,Brugge
10158925,apartment,duplex,295000,for sale,hyper equipped,gas,2,,,,,,Brugge
10139890,house,house,299000,for sale,installed,gas,3,170,,90,,,Brugge
10157545,apartment,apartment,325000,for sale,hyper equipped,gas,2,,true,,,,Brugge
10159398,apartment group,apartment group,294500 - 565000,for sale,,,,,,,,1,Brugge
10158478,apartment group,apartment group,322750 - 322750,for sale,,,,,,,,1,Brugge
id,type,subtype,price,transactionType,kitchen_type,energy_heatingType,bedroom_count,land_surface,outdoor_terrace_exists,outdoor_garden_surface,wellnessEquipment_hasSwimmingPool,condition_isNewlyBuilt,location
10160295,house,bungalow,435000,for sale,semi equipped,gas,3,648,true,468,,,Brugge
10159386,house group,house group,419000 - 419000,for sale,,,,,,,,1,Brugge
10160155,house,house,345000,for sale,hyper equipped,gas,5,705,true,500,,,Brugge
10160701,house,villa,465000,for sale,installed,electric,4,1072,true,800,,,Brugge
10160111,apartment,apartment,460000,for sale,installed,fueloil,3,,true,,,,Brugge
10160433,house,house,499000,for sale,usa hyper equipped,gas,3,475,true,383,,,Brugge
10159843,house,villa,520000,for sale,installed,gas,3,5062,,,,,Brugge
10159844,house,villa,520000,for sale,installed,gas,3,5062,,,,,Brugge
10159845,house,house,520000,for sale,installed,gas,3,5062,,,,,Brugge
10160577,house,house,585000,for sale,usa semi equipped,gas,2,634,true,400,,,Brugge
10157831,apartment group,apartment group,1700000 - 1700000,for sale,,,,,,,,1,Brugge
10156372,apartment,apartment,395000,for sale,usa hyper equipped,gas,3,,true,,,1,Brugge
10154682,apartment,apartment,965000,for sale,usa hyper equipped,gas,3,,true,,,1,Brugge
10157787,apartment group,apartment group,1700000 - 1700000,for sale,,,,,,,,1,Brugge
10154468,apartment,penthouse,780000,for sale,hyper equipped,gas,3,,true,,,1,Brugge
10160243,apartment,apartment,230000,for sale,hyper equipped,,1,,true,,,1,Brugge
10160246,apartment,apartment,320000,for sale,hyper equipped,,2,,true,,,1,Brugge
10160242,apartment,apartment,390000,for sale,hyper equipped,,2,,true,,,1,Brugge
10160244,apartment,apartment,245000,for sale,hyper equipped,,1,,true,,,1,Brugge
10155618,apartment,apartment,137500,for sale,installed,electric,1,,true,,,,Brugge
10158916,apartment,apartment,255000,for sale,hyper equipped,gas,1,,true,,,,Brugge
10157770,apartment,apartment,249000,for sale,installed,gas,2,,true,,,,Brugge
10154803,apartment,apartment,210000,for sale,usa installed,gas,2,,,450,,,Brugge
10155629,apartment,apartment,235000,for sale,usa hyper equipped,electric,1,,true,,,,Brugge
10155621,apartment,apartment,265000,for sale,usa hyper equipped,electric,2,,true,,,,Brugge
10158640,house,house,269000,for sale,semi equipped,pellet,3,3418,,,,,Brugge
10152494,apartment group,apartment group,280000 - 635000,for sale,,,,,,,,1,Brugge
10158478,apartment group,apartment group,322750 - 322750,for sale,,,,,,,,1,Brugge
10157545,apartment,apartment,325000,for sale,hyper equipped,gas,2,,true,,,,Brugge
10155633,apartment,apartment,319000,for sale,usa hyper equipped,electric,2,,true,,,,Brugge
id,type,subtype,price,transactionType,kitchen_type,energy_heatingType,bedroom_count,land_surface,outdoor_terrace_exists,outdoor_garden_surface,wellnessEquipment_hasSwimmingPool,condition_isNewlyBuilt,location
10159481,apartment,apartment,329000,for sale,installed,fueloil,2,,true,,,,Brussel
10158413,apartment group,apartment group,361800 - 693450,for sale,,,,,,,,1,Brussel
10158588,apartment group,apartment group,365000 - 365000,for sale,,,,,,,,1,Brussel
10158422,apartment group,apartment group,427125 - 427125,for sale,,,,,,,,1,Brussel
10157660,apartment,duplex,369000,for sale,usa hyper equipped,gas,2,,true,,,,Brussel
10158500,apartment group,apartment group,357500 - 547500,for sale,,,,,,,,1,Brussel
10157651,apartment group,apartment group,447500 - 1225868,for sale,,,,,,,,1,Brussel
10158470,apartment group,apartment group,447175 - 447175,for sale,,,,,,,,1,Brussel
10157528,apartment group,apartment group,435000 - 645000,for sale,,,,,,,,1,Brussel
10157563,apartment,duplex,595000,for sale,hyper equipped,gas,4,,true,,,,Brussel
10156559,apartment group,apartment group,495000 - 580000,for sale,,,,,,,,1,Brussel
10157565,apartment,penthouse,595000,for sale,hyper equipped,gas,4,,true,,,,Brussel
10156769,apartment,apartment,105000,for sale,semi equipped,gas,2,,true,,,,Brussel
10158591,house group,house group,755000 - 755000,for sale,,,,,,,,1,Brussel
10156202,apartment,apartment,169500,for sale,semi equipped,gas,2,,true,,,,Brussel
10155476,apartment,apartment,170000,for sale,installed,gas,2,,,,,,Brussel
10155045,apartment group,apartment group,242295 - 512980,for sale,,,,,,,,1,Brussel
10154653,apartment group,apartment group,182000 - 390000,for sale,,,,,,,,1,Brussel
10155504,house,house,215000,for sale,semi equipped,gas,3,160,true,,,,Brussel
10152126,apartment,apartment,189000,for sale,usa hyper equipped,gas,1,,true,,,,Brussel
10155023,apartment group,apartment group,245000 - 578500,for sale,,,,,,,,1,Brussel
10156573,apartment group,apartment group,255000 - 325000,for sale,,,,,,,,1,Brussel
10082019,apartment group,apartment group,255000 - 675000,for sale,,,,,,,,1,Brussel
10156246,apartment group,apartment group,279000 - 299000,for sale,,,,,,,,1,Brussel
10152027,apartment,duplex,299000,for sale,usa hyper equipped,gas,3,,true,,,,Brussel
10154860,apartment group,apartment group,299500 - 584500,for sale,,,,,,,,1,Brussel
10154948,apartment group,apartment group,310000 - 390000,for sale,,,,,,,,1,Brussel
10153411,house group,house group,289000 - 289000,for sale,,,,,,,,1,Brussel
10154922,apartment group,apartment group,315000 - 849500,for sale,,,,,,,,1,Brussel
10153732,apartment,apartment,319000,for sale,usa installed,gas,1,,,,,,Brussel
id,type,subtype,price,transactionType,kitchen_type,energy_heatingType,bedroom_count,land_surface,outdoor_terrace_exists,outdoor_garden_surface,wellnessEquipment_hasSwimmingPool,condition_isNewlyBuilt,location
10153732,apartment,apartment,319000,for sale,usa installed,gas,1,,,,,,Antwerpen
10154922,apartment group,apartment group,315000 - 849500,for sale,,,,,,,,1,Antwerpen
10153006,house group,house group,336000 - 384000,for sale,,,,,,,,1,Antwerpen
10151412,apartment group,apartment group,320000 - 550000,for sale,,,,,,,,1,Antwerpen
10151862,house group,house group,365000 - 555000,for sale,,,,,,,,1,Antwerpen
10151854,apartment group,apartment group,333400 - 451250,for sale,,,,,,,,1,Antwerpen
10152020,apartment,apartment,375000,for sale,hyper equipped,gas,2,,,,,,Antwerpen
10153840,house group,house group,373000 - 417000,for sale,,,,,,,,1,Antwerpen
10155016,house group,house group,395000 - 419000,for sale,,,,,,,,1,Antwerpen
10152380,apartment group,apartment group,415000 - 675000,for sale,,,,,,,,1,Antwerpen
10152367,apartment group,apartment group,390000 - 885000,for sale,,,,,,,,1,Antwerpen
10154990,apartment group,apartment group,439500 - 439500,for sale,,,,,,,,1,Antwerpen
10152045,apartment,apartment,444000,for sale,hyper equipped,gas,3,,true,,,,Antwerpen
10153222,house group,house group,449000 - 477000,for sale,,,,,,,,1,Antwerpen
10155441,house,house,660000,for sale,installed,gas,3,660,,,,,Antwerpen
10153854,apartment,apartment,490000,for sale,installed,gas,2,,,,,,Antwerpen
10151589,apartment,apartment,479000,for sale,hyper equipped,gas,3,,true,350,,,Antwerpen
10155081,apartment group,apartment group,568000 - 595000,for sale,,,,,,,,1,Antwerpen
10154984,house group,house group,699500 - 699500,for sale,,,,,,,,1,Antwerpen
10153226,house group,house group,485000 - 485000,for sale,,,,,,,,1,Antwerpen
10161792,house,house,658500,for sale,usa hyper equipped,gas,4,620,true,400,,,Antwerpen
10154878,apartment group,apartment group,839475 - 879638,for sale,,,,,,,,1,Antwerpen
10080676,house,house,549000,for sale,,gas,4,320,,170,,,Antwerpen
10152278,house,house,145000,for sale,semi equipped,wood,3,480,true,290,,,Antwerpen
10149730,apartment group,apartment group,179000 - 495000,for sale,,,,,,,,1,Antwerpen
10148942,apartment group,apartment group,150000 - 1375000,for sale,,,,,,,,1,Antwerpen
10151203,apartment,triplex,235000,for sale,installed,gas,2,,true,,,,Antwerpen
10151182,apartment,apartment,209000,for sale,installed,gas,2,,true,,,,Antwerpen
10151217,apartment,apartment,245000,for sale,installed,gas,3,,true,,,,Antwerpen
10151895,house,house,235000,for sale,semi equipped,fueloil,3,945,true,400,,,Antwerpen
