id,type,subtype,price,transactionType,kitchen_type,energy_heatingType,bedroom_count,land_surface,outdoor_terrace_exists,outdoor_garden_surface,wellnessEquipment_hasSwimmingPool,condition_isNewlyBuilt,location
10158588,apartment group,apartment group,365000 - 365000,for sale,,,,,,,,1,Mechelen
10158413,apartment group,apartment group,361800 - 693450,for sale,,,,,,,,1,Mechelen
10159386,house group,house group,419000 - 419000,for sale,,,,,,,,1,Mechelen
10158470,apartment group,apartment group,447175 - 447175,for sale,,,,,,,,1,Mechelen
10157528,apartment group,apartment group,435000 - 645000,for sale,,,,,,,,1,Mechelen
10157563,apartment,duplex,595000,for sale,hyper equipped,gas,4,,true,,,,Mechelen
10157651,apartment group,apartment group,447500 - 1225868,for sale,,,,,,,,1,Mechelen
10158591,house group,house group,755000 - 755000,for sale,,,,,,,,1,Mechelen
10157565,apartment,penthouse,595000,for sale,hyper equipped,gas,4,,true,,,,Mechelen
10156769,apartment,apartment,105000,for sale,semi equipped,gas,2,,true,,,,Mechelen
10157787,apartment group,apartment group,1700000 - 1700000,for sale,,,,,,,,1,Mechelen
10155618,apartment,apartment,137500,for sale,installed,electric,1,,true,,,,Mechelen
10156202,apartment,apartment,169500,for sale,semi equipped,gas,2,,true,,,,Mechelen
10157831,apartment group,apartment group,1700000 - 1700000,for sale,,,,,,,,1,Mechelen
10155476,apartment,apartment,170000,for sale,installed,gas,2,,,,,,Mechelen
10154653,apartment group,apartment group,182000 - 390000,for sale,,,,,,,,1,Mechelen
10155504,house,house,215000,for sale,semi equipped,gas,3,160,true,,,,Mechelen
10154803,apartment,apartment,210000,for sale,usa installed,gas,2,,,450,,,Mechelen
10155629,apartment,apartment,235000,for sale,usa hyper equipped,electric,1,,true,,,,Mechelen
10155045,apartment group,apartment group,242295 - 512980,for sale,,,,,,,,1,Mechelen
10155023,apartment group,apartment group,245000 - 578500,for sale,,,,,,,,1,Mechelen
id,type,subtype,price,transactionType,kitchen_type,energy_heatingType,bedroom_count,land_surface,outdoor_terrace_exists,outdoor_garden_surface,wellnessEquipment_hasSwimmingPool,condition_isNewlyBuilt,location
10156246,apartment group,apartment group,279000 - 299000,for sale,,,,,,,,1,Sint-Niklaas
10154860,apartment group,apartment group,299500 - 584500,for sale,,,,,,,,1,Sint-Niklaas
10155621,apartment,apartment,265000,for sale,usa hyper equipped,electric,2,,true,,,,Sint-Niklaas
10154948,apartment group,apartment group,310000 - 390000,for sale,,,,,,,,1,Sint-Niklaas
10156573,apartment group,apartment group,255000 - 325000,for sale,,,,,,,,1,Sint-Niklaas
10082019,apartment group,apartment group,255000 - 675000,for sale,,,,,,,,1,Sint-Niklaas
10155633,apartment,apartment,319000,for sale,usa hyper equipped,electric,2,,true,,,,Sint-Niklaas
10154548,apartment,apartment,320000,for sale,installed,gas,2,,true,,,,Sint-Niklaas
10154922,apartment group,apartment group,315000 - 849500,for sale,,,,,,,,1,Sint-Niklaas
10154735,apartment group,apartment group,359000 - 419000,for sale,,,,,,,,1,Sint-Niklaas
10155131,apartment group,apartment group,337500 - 380000,for sale,,,,,,,,1,Sint-Niklaas
10155124,apartment group,apartment group,337500 - 380000,for sale,,,,,,,,1,Sint-Niklaas
10155016,house group,house group,395000 - 419000,for sale,,,,,,,,1,Sint-Niklaas
10154732,apartment,apartment,395000,for sale,usa installed,gas,2,,true,,,,Sint-Niklaas
10154990,apartment group,apartment group,439500 - 439500,for sale,,,,,,,,1,Sint-Niklaas
10155094,house group,house group,419000 - 444000,for sale,,,,,,,,1,Sint-Niklaas
10155441,house,house,660000,for sale,installed,gas,3,660,,,,,Sint-Niklaas
10155081,apartment group,apartment group,568000 - 595000,for sale,,,,,,,,1,Sint-Niklaas
10154577,house group,house group,670000 - 675000,for sale,,,,,,,,1,Sint-Niklaas
10154984,house group,house group,699500 - 699500,for sale,,,,,,,,1,Sint-Niklaas
10024351,house,bungalow,199000,for sale,installed,electric,2,286,true,,,,Sint-Niklaas
10161792,house,house,658500,for sale,usa hyper equipped,gas,4,620,true,400,,,Sint-Niklaas
10080676,house,house,549000,for sale,,gas,4,320,,170,,,Sint-Niklaas
10162190,house,house,190000,for sale,semi equipped,gas,5,1768,true,,,,Sint-Niklaas
10154878,apartment group,apartment group,839475 - 879638,for sale,,,,,,,,1,Sint-Niklaas
10163536,house,villa,945000,for sale,hyper equipped,gas,3,3937,true,,,,Sint-Niklaas
10162246,apartment,apartment,250000,for sale,not installed,fueloil,1,,true,,,,Sint-Niklaas
10089743,apartment,apartment,265000,for sale,semi equipped,gas,2,,true,,,,Sint-Niklaas
10152126,apartment,apartment,189000,for sale,usa hyper equipped,gas,1,,true,,,,Sint-Niklaas
10152278,house,house,145000,for sale,semi equipped,wood,3,480,true,290,,,Sint-Niklaas
id,type,subtype,price,transactionType,kitchen_type,energy_heatingType,bedroom_count,land_surface,outdoor_terrace_exists,outdoor_garden_surface,wellnessEquipment_hasSwimmingPool,condition_isNewlyBuilt,location
10155188,apartment,apartment,210000,for sale,installed,gas,3,,true,,,,Turnhout
10151404,apartment,apartment,275000,for sale,installed,fueloil,3,,true,,,,Turnhout
10153411,house group,house group,289000 - 289000,for sale,,,,,,,,1,Turnhout
10151936,apartment group,apartment group,262000 - 377000,for sale,,,,,,,,1,Turnhout
10151772,apartment group,apartment group,263000 - 263000,for sale,,,,,,,,1,Turnhout
10151895,house,house,235000,for sale,semi equipped,fueloil,3,945,true,400,,,Turnhout
10152027,apartment,duplex,299000,for sale,usa hyper equipped,gas,3,,true,,,,Turnhout
10153924,apartment,apartment,310000,for sale,hyper equipped,gas,2,,true,,,,Turnhout
