id,type,subtype,price,transactionType,kitchen_type,energy_heatingType,bedroom_count,land_surface,outdoor_terrace_exists,outdoor_garden_surface,wellnessEquipment_hasSwimmingPool,condition_isNewlyBuilt,location,region,province,EPC
10163054,house,mixed use building,1795000,for sale,not installed,gas,39,450,,,,,Dinant,['Wallonïe'],['Namen'],[None]
10161860,house,house,935000,for sale,usa hyper equipped,fueloil,4,13638,true,13473,,,Dinant,['Wallonïe'],['Namen'],[None]
10162908,apartment group,apartment group,589000 - 1395000,for sale,,,,,,,,1,Dinant,['Wallonïe'],['Namen'],[None]
10161789,house,house,720000,for sale,not installed,fueloil,5,176,true,45,,,Dinant,['Wallonïe'],['Namen'],[None]
10161299,house,house,199000,for sale,semi equipped,gas,3,260,,140,,,Dinant,['Wallonïe'],['Namen'],[None]
10161684,apartment group,apartment group,235000 - 330000,for sale,,,,,,,,1,Dinant,['Wallonïe'],['Namen'],[None]
10161665,house,house,359000,for sale,hyper equipped,fueloil,4,1424,true,952,,,Dinant,['Wallonïe'],['Namen'],[None]
10161668,apartment group,apartment group,270000 - 535000,for sale,,,,,,,,1,Dinant,['Wallonïe'],['Namen'],[None]
10161671,apartment group,apartment group,280000 - 320000,for sale,,,,,,,,1,Dinant,['Wallonïe'],['Namen'],[None]
10146915,apartment,apartment,339000,for sale,hyper equipped,gas,2,,true,,,1,Dinant,['Wallonïe'],['Namen'],[None]
10161619,house,house,430000,for sale,installed,gas,3,179,,80,,,Dinant,['Wallonïe'],['Namen'],[None]
10161140,house,house,399000,for sale,installed,gas,4,485,true,230,,,Dinant,['Wallonïe'],['Namen'],[None]
10161680,house group,house group,375000 - 445000,for sale,,,,,,,,1,Dinant,['Wallonïe'],['Namen'],[None]
10161530,apartment,apartment,465000,for sale,installed,gas,2,,,,,,Dinant,['Wallonïe'],['Namen'],[None]
10161675,house group,house group,478000 - 508000,for sale,,,,,,,,1,Dinant,['Wallonïe'],['Namen'],[None]
10160107,apartment,apartment,180000,for sale,semi equipped,gas,3,,true,,,,Dinant,['Wallonïe'],['Namen'],[None]
10160259,apartment,apartment,208000,for sale,usa installed,electric,2,,true,,,,Dinant,['Wallonïe'],['Namen'],[None]
10159979,apartment group,apartment group,225000 - 695000,for sale,,,,,,,,1,Dinant,['Wallonïe'],['Namen'],[None]
10160247,apartment group,apartment group,230000 - 390000,for sale,,,,,,,,1,Dinant,['Wallonïe'],['Namen'],[None]
10160328,apartment group,apartment group,257000 - 319000,for sale,,,,,,,,1,Dinant,['Wallonïe'],['Namen'],[None]
10160989,house group,house group,279000 - 279000,for sale,,,,,,,,1,Dinant,['Wallonïe'],['Namen'],[None]
id,type,subtype,price,transactionType,kitchen_type,energy_heatingType,bedroom_count,land_surface,outdoor_terrace_exists,outdoor_garden_surface,wellnessEquipment_hasSwimmingPool,condition_isNewlyBuilt,location,region,province,EPC
10160701,house,villa,465000,for sale,installed,electric,4,1072,true,800,,,Brussel,['Brussel'],['Brussel'],[None]
10160155,house,house,345000,for sale,hyper equipped,gas,5,705,true,500,,,Brussel,['Brussel'],['Brussel'],[None]
10160111,apartment,apartment,460000,for sale,installed,fueloil,3,,true,,,,Brussel,['Brussel'],['Brussel'],[None]
10139890,house,house,299000,for sale,installed,gas,3,170,,90,,,Brussel,['Brussel'],['Brussel'],[None]
10160295,house,bungalow,435000,for sale,semi equipped,gas,3,648,true,468,,,Brussel,['Brussel'],['Brussel'],[None]
10160911,house,house,289000,for sale,installed,gas,3,197,true,60,,,Brussel,['Brussel'],['Brussel'],[None]
10160433,house,house,499000,for sale,usa hyper equipped,gas,3,475,true,383,,,Brussel,['Brussel'],['Brussel'],[None]
10159845,house,house,520000,for sale,installed,gas,3,5062,,,,,Brussel,['Brussel'],['Brussel'],[None]
10159844,house,villa,520000,for sale,installed,gas,3,5062,,,,,Brussel,['Brussel'],['Brussel'],[None]
10159843,house,villa,520000,for sale,installed,gas,3,5062,,,,,Brussel,['Brussel'],['Brussel'],[None]
10160577,house,house,585000,for sale,usa semi equipped,gas,2,634,true,400,,,Brussel,['Brussel'],['Brussel'],[None]
10156372,apartment,apartment,395000,for sale,usa hyper equipped,gas,3,,true,,,1,Brussel,['Brussel'],['Brussel'],[None]
10160246,apartment,apartment,320000,for sale,hyper equipped,,2,,true,,,1,Brussel,['Brussel'],['Brussel'],[None]
10160243,apartment,apartment,230000,for sale,hyper equipped,,1,,true,,,1,Brussel,['Brussel'],['Brussel'],[None]
10154468,apartment,penthouse,780000,for sale,hyper equipped,gas,3,,true,,,1,Brussel,['Brussel'],['Brussel'],[None]
10160244,apartment,apartment,245000,for sale,hyper equipped,,1,,true,,,1,Brussel,['Brussel'],['Brussel'],[None]
10154682,apartment,apartment,965000,for sale,usa hyper equipped,gas,3,,true,,,1,Brussel,['Brussel'],['Brussel'],[None]
10158224,apartment,duplex,140000,for sale,usa installed,gas,3,,true,,,,Brussel,['Brussel'],['Brussel'],[None]
10157770,apartment,apartment,249000,for sale,installed,gas,2,,true,,,,Brussel,['Brussel'],['Brussel'],[None]
10157688,apartment group,apartment group,239000 - 342000,for sale,,,,,,,,1,Brussel,['Brussel'],['Brussel'],[None]
10158916,apartment,apartment,255000,for sale,hyper equipped,gas,1,,true,,,,Brussel,['Brussel'],['Brussel'],[None]
10082019,apartment group,apartment group,262500 - 675000,for sale,,,,,,,,1,Brussel,['Brussel'],['Brussel'],[None]
10158925,apartment,duplex,295000,for sale,hyper equipped,gas,2,,,,,,Brussel,['Brussel'],['Brussel'],[None]
10158478,apartment group,apartment group,322750 - 322750,for sale,,,,,,,,1,Brussel,['Brussel'],['Brussel'],[None]
10158640,house,house,269000,for sale,semi equipped,pellet,3,3418,,,,,Brussel,['Brussel'],['Brussel'],[None]
10152494,apartment group,apartment group,280000 - 635000,for sale,,,,,,,,1,Brussel,['Brussel'],['Brussel'],[None]
10159398,apartment group,apartment group,294500 - 565000,for sale,,,,,,,,1,Brussel,['Brussel'],['Brussel'],[None]
10157545,apartment,apartment,325000,for sale,hyper equipped,gas,2,,true,,,,Brussel,['Brussel'],['Brussel'],[None]
10159481,apartment,apartment,329000,for sale,installed,fueloil,2,,true,,,,Brussel,['Brussel'],['Brussel'],[None]
id,type,subtype,price,transactionType,kitchen_type,energy_heatingType,bedroom_count,land_surface,outdoor_terrace_exists,outdoor_garden_surface,wellnessEquipment_hasSwimmingPool,condition_isNewlyBuilt,location,region,province,EPC
10164025,apartment,apartment,259000,for sale,installed,gas,2,,true,,,,Aalst,['Vlaanderen'],['Oost-Vlaanderen'],[None]
10093468,apartment,apartment,299000,for sale,installed,gas,2,,,,,,Aalst,['Vlaanderen'],['Oost-Vlaanderen'],[None]
10164023,apartment,apartment,210000,for sale,not installed,gas,2,,true,,,,Aalst,['Vlaanderen'],['Oost-Vlaanderen'],[None]
10163960,apartment,apartment,180000,for sale,installed,gas,2,,true,,,,Aalst,['Vlaanderen'],['Oost-Vlaanderen'],[None]
10160241,apartment,apartment,375000,for sale,hyper equipped,gas,2,,true,,,1,Aalst,['Vlaanderen'],['Oost-Vlaanderen'],[None]
10164465,apartment group,apartment group,137500 - 160500,for sale,,,,,,,,1,Aalst,['Vlaanderen'],['Oost-Vlaanderen'],[None]
10164463,apartment,apartment,330000,for sale,usa semi equipped,gas,2,,,,,,Aalst,['Vlaanderen'],['Oost-Vlaanderen'],[None]
10163793,house group,house group,309000 - 353000,for sale,,,,,,,,1,Aalst,['Vlaanderen'],['Oost-Vlaanderen'],[None]
10164026,apartment,apartment,430000,for sale,hyper equipped,gas,3,,true,,,,Aalst,['Vlaanderen'],['Oost-Vlaanderen'],[None]
10164117,house,house,349000,for sale,semi equipped,fueloil,4,1500,true,1200,,,Aalst,['Vlaanderen'],['Oost-Vlaanderen'],[None]
10164027,apartment,duplex,349000,for sale,usa hyper equipped,gas,2,,true,,,,Aalst,['Vlaanderen'],['Oost-Vlaanderen'],[None]
10077980,house group,house group,332000 - 378500,for sale,,,,,,,,1,Aalst,['Vlaanderen'],['Oost-Vlaanderen'],[None]
10164048,apartment group,apartment group,475000 - 475000,for sale,,,,,,,,1,Aalst,['Vlaanderen'],['Oost-Vlaanderen'],[None]
10164672,apartment group,apartment group,489000 - 849000,for sale,,,,,,,,1,Aalst,['Vlaanderen'],['Oost-Vlaanderen'],[None]
